"","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Je me sens capable de réaliser un programme Java simple qui interagit avec l'utilisatrice.","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié... ","J'ai moins apprécié et je propose... ","Compilation & Exécution","Variables & Constantes","Types","UML","Sélection (if/else)","Itération (while/for/foreach)","Fonctions","Tableaux","Bibliothèques","Autres remarques et commentaires "
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Les supports de cours complets, avec tout le contenu par écrit, m’aident énormément. 

Le fait que tout soit disponible au moment du cours, voire même avant, est vraiment pratique.

J’apprécie aussi d’avoir les solutions des exercices : ne pas devoir attendre une semaine lorsqu’on est bloqué, c’est vraiment précieux :).","rien de spécial :)","","","","","","","","","X",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","le fait qu'il y avait moins de théorie et plus de pratique. Personnellement, j'apprends plus en pratiquant qu'en théorisant.","d'élevé le niveau, parfois trop simple même pour des néophytes. ","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","","","","","","","","","","X","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le format court de la théorie et la mise en avances des exercices. C'est tout le contraire de la façon de faire à Cheseaux, en Ingénierie informatique et c'est très appréciable pour progresser, surtout pour un domaine comme la programmation où il faut pratiquer pour s'améliorer. ","Les exercices devraient avoir un exemple de ""sortie attendue"" du programme que l'on doit réaliser. Parfois, les consignes des exercices sont un peu abstraites. ","X","","","","","","","","",""
"Tout à fait d'accord ★★★★","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","L’autonomie de travail lors des périodes d’enseignement ","La documentation sur GitHub, je pense que Cyberlearn serait un environnement plus adapté et pratique.","","","","","","","","","","Merci pour votre bienveillance."
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","","","","","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","la relation entre prof élève ","Je sais que c'est difficile, mais il faut être plus a l'aise en donnant des explications et rendre le cours un peu plus dynamique.","","","","","","X","","X","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","","","","","","","","","","","",""
"Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","La structure de cours, et votre attitude par rapport à l'enseignement.","Je n'ai rien à dire","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","La liberté lors de la réalisation des exercices et les présentations","","","","","","","","","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","","","","","","","","X","","X","X",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","l'enseignant est super sympa et explique bien les choses","de proposer plus d'exercice facile, je me souviens que les premiers exercices était compliqué à comprendre et à réaliser","","","","X","","","","X","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","j'apprécie la manière dont le cours est donnée. La partie théorique nous permet de comprendre et ensuite,  la partie pratique avec les exercices de mettre en pratique la théorie et de bien l’assimiler.","Peut-être essayer de proposer plus d'exercices qu'on fait en classe puis qu'on le corrige ensemble. Comme ça on peut voir la réflexion et la marche à suivre pour écrire le code. ","","","","","","X","X","X","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Tout à fait d'accord ★★★★","votre super examen qui m'a pas découragé, j'avais peur de l'examen car mon niveau était assez catastrophique,  mais ca ma permis de reprendre confiance en moi.","je comprends rien en programmation je trouve ca tres difficile, tant pour le systeme, tant le vocabulaire, mais cela n'est rien contre vous, car meme dans les autres matieres, je trouve cela compliqué.","","","","","X","X","X","X","X",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La structure du cours avec des présentations assez complètes et des exercices qui nous permettaient de mieux comprendre la matière","","","","","","","","","X","X",""
